image_path,label,subject,source
data/Camera 1/train/c0/1064.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1065.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1066.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1068.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1069.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1070.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1071.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1072.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1083.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1084.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1085.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1086.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1087.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1088.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1089.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1097.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1098.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1099.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1100.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1101.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1102.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1103.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1105.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1106.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1107.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1108.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1109.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1110.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1111.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1112.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1113.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1114.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1115.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1116.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1117.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1118.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1119.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1120.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1121.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1122.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1123.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1019.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1039.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1067.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1104.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1124.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1170.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1190.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1210.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1230.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1250.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1272.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1293.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1315.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1335.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1355.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1125.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1126.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1127.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1128.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1129.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1130.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1131.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1132.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1133.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1134.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1135.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1136.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1137.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1138.jpg,0,p7,Camera 1
data/Camera 1/train/c0/1141.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1142.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1167.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1168.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1169.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1171.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1172.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1173.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1174.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1175.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1176.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1177.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1178.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1179.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1180.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1181.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1182.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1183.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1184.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1185.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1186.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1187.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1188.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1189.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1191.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1192.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1193.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1194.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1195.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1196.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1197.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1198.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1199.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1200.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1201.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1202.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1203.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1204.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1205.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1206.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1207.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1208.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1209.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1211.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1212.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1213.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1214.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1215.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1216.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1217.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1218.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1219.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1220.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1221.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1222.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1223.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1224.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1225.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1226.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1227.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1228.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1229.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1231.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1232.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1233.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1234.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1235.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1236.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1237.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1238.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1239.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1240.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1241.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1242.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1243.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1244.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1245.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1246.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1247.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1248.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1249.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1251.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1252.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1253.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1254.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1255.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1256.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1257.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1258.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1259.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1260.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1261.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1262.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1263.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1264.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1265.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1266.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1267.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1268.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1271.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1273.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1274.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1275.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1276.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1277.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1278.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1279.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1280.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1281.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1282.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1283.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1284.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1285.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1287.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1288.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1289.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1290.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1291.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1292.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1294.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1297.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1298.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1299.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1300.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1301.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1302.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1303.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1304.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1305.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1306.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1307.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1308.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1309.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1310.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1311.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1312.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1313.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1314.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1316.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1317.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1318.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1319.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1320.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1321.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1322.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1323.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1324.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1325.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1326.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1327.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1328.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1329.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1330.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1331.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1332.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1333.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1334.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1336.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1337.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1338.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1339.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1340.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1341.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1342.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1343.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1344.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1345.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1346.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1347.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1348.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1349.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1350.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1351.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1352.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1353.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1354.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1356.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1357.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1358.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1359.jpg,0,p8,Camera 1
data/Camera 1/train/c0/1705.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1706.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1707.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1717.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1718.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1719.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1720.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1721.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1722.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1723.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1724.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1725.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1726.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1727.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1728.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1729.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1730.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1731.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1732.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1733.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1734.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1735.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1737.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1738.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1739.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1740.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1741.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1742.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1743.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1744.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1745.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1746.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1747.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1748.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1758.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1759.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1760.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1761.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1762.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1763.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1764.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1766.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1767.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1768.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1769.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1770.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1771.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1772.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1773.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1774.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1790.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1791.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1792.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1793.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1794.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1795.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1796.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1797.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1798.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1799.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1801.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1802.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1803.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1804.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1805.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1806.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1807.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1808.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1809.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1810.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1811.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1812.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1813.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1814.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1815.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1816.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1817.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1818.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1819.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1708.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1736.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1765.jpg,0,p12,Camera 1
data/Camera 1/train/c0/1800.jpg,0,p12,Camera 1
data/Camera 1/train/c0/2090.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2096.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2097.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2098.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2099.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2100.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2101.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2102.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2103.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2104.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2105.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2106.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2107.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2108.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2110.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2111.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2112.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2113.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2114.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2115.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2116.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2117.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2118.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2119.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2120.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2121.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2122.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2123.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2124.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2125.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2126.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2127.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2128.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2130.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2131.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2132.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2133.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2134.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2135.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2136.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2144.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2145.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2146.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2147.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2148.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2149.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2150.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2151.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2152.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2153.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2154.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2155.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2162.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2163.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2164.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2165.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2166.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2167.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2168.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2169.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2170.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2171.jpg,0,p15,Camera 1
data/Camera 1/train/c0/2172.jpg,0,p15,Camera 1
